,,,,Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,% Residential Value,% Residential Value,% Residential Value,% Residential Value,% Residential Value,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating
Cumberland,Vineland,1,2,"4,045,607,693","4,176,171,096","4,095,438,711","4,126,049,556","4,078,641,554","66,136","68,667","67,665","68,321","68,016","23,931.73","25,199.48",-,-,-,"54,959","54,944",-,-,-,62.77,64.42,105.12,65.74,66.46,Aa3,Aa3,Aa3,Aa3,-
Middlesex,New Brunswick,17,6,"3,145,100,465","3,141,149,648","3,232,922,245","3,403,044,155","4,580,014,370","55,100","55,074","56,808","59,626","81,640","17,299.18","18,230.60",-,-,-,"38,049","39,067",-,-,-,51.57,50.13,257.47,42.5,42.66,A2,A2,A2,A2,-
Middlesex,Plainsboro,14,12,"3,857,241,438","4,023,352,904","4,374,419,750","4,511,913,028","4,711,740,467","164,635","170,329","186,885","191,964","204,228","55,480.41","56,961.10",-,-,-,"22,718","23,140",-,-,-,57.12,56.18,94.21,53.91,54.17,Aa1,Aa1,-,-,-
Morris,Parsippany-Troy Hills,26,11,"8,490,129,948","8,484,021,576","8,613,059,643","8,585,234,952","8,637,700,714","158,165","158,163","161,723","161,374","165,267","43,175.13","44,533.07",-,-,-,"51,415","51,491",-,-,-,61.28,61.44,120.26,61.38,61.39,Aa1,Aa1,Aa1,Aa1,-
Morris,Randolph,25,11,"4,322,235,798","4,285,340,226","4,327,626,123","4,400,826,766","4,522,762,673","166,470","165,094","167,562","169,962","176,539","65,634.27","67,808.64",-,-,-,"26,534","26,689",-,-,-,83.53,83.62,148.1,82.36,82.63,Aa1,Aaa,Aaa,Aaa,-
Cape May,Dennis,1,2,"872,574,298","877,388,940","887,340,914","895,292,829","926,605,650","138,087","138,937","141,184","143,178","149,888","30,751.65","32,727.67",-,-,-,"5,530","5,447",-,-,-,77.5,73.15,100.95,73.42,73.58,-,-,-,-,-
Cape May,Middle Township,1,2,"2,673,611,179","2,617,299,616","2,615,465,898","2,653,722,278","2,721,096,779","141,588","140,602","140,639","144,013","148,678","28,718.42","28,601.55",-,-,-,"15,479","15,715",-,-,-,74.63,74.6,95.9,75.09,75.59,Aa3,Aa3,Aa3,Aa3,-
Cape May,Avalon,1,2,"7,728,176,992","7,881,297,048","8,128,780,081","8,424,568,982","9,018,340,966","5,958,502","6,142,866","6,355,575","6,649,226","7,232,030","66,522.07","70,418.76",-,-,-,"1,128","1,064",-,-,-,95.54,95.08,109.47,95.34,95.4,Aa2,Aa2,Aa1,Aa1,-
Cape May,Cape May Point,1,2,"462,798,163","444,195,868","454,996,663","457,833,090","494,210,179","1,629,571","1,580,768","1,619,205","1,640,979","1,790,617","63,908.72","44,855.25",-,-,-,156,82,-,-,-,93.31,93.2,101.16,94.68,95.13,-,-,-,-,-
Camden,Woodlynne,5,1,"57,643,888","63,097,047","68,781,773","68,504,674","68,075,955","19,620","21,432","23,363","23,246","23,306","13,782.08","14,309.39",-,-,-,"2,614","2,580",-,-,-,90.59,90.66,103.3,90.59,90.79,-,-,-,-,-
Cape May,Wildwood,1,2,"1,442,591,001","1,418,617,192","1,422,205,230","1,356,340,376","1,428,879,921","278,224","275,513","277,774","267,523","285,890","14,228.81","15,055.71",-,-,-,"4,752","4,864",-,-,-,63.37,63.36,100.56,63.94,64.09,A2,A2,A2,A2,-
Cape May,West Wildwood,1,2,"238,648,732","225,843,274","233,076,649","217,882,543","227,795,206","412,174","394,831","410,346","384,951","408,235","26,315.93","25,584.65",-,-,-,396,397,-,-,-,86.39,86.57,94.43,91.56,91.65,-,-,-,-,-
Cape May,Upper Township,1,2,"1,929,667,952","1,934,627,003","1,902,707,738","1,915,615,572","1,938,605,141","159,306","161,031","158,877","161,071","163,499","38,643.98","39,885.66",-,-,-,"11,445","11,067",-,-,-,85.4,83.46,106.27,84.34,84.42,-,-,-,-,-
Cape May,Sea Isle City,1,2,"4,323,045,124","4,437,323,148","4,635,486,398","4,834,454,382","5,045,786,426","2,075,394","2,126,173","2,223,255","2,337,744","2,468,584","44,705.85","47,103.10",-,-,-,"1,700","1,645",-,-,-,95.07,95.15,102.66,95.31,95.27,Aa2,Aa2,-,-,-
Cape May,North Wildwood,1,2,"2,550,148,976","2,527,292,094","2,569,770,638","2,612,648,635","2,667,914,959","648,233","647,858","661,971","679,846","703,564","28,302.55","30,014.03",-,-,-,"3,016","3,013",-,-,-,87.27,87.81,99.52,88.28,88.66,A1,A1,A1,A1,-
Ocean,South Toms River,9,3,"227,114,660","1,238,859,151","221,944,624","223,059,964","1,400,298,050","60,371","331,600","59,012","59,136","370,743","19,942.96","19,851.72",-,-,-,"3,248","3,432",-,-,-,84.19,84.17,100.65,84.04,83.22,-,-,-,-,-
Ocean,Seaside Park,9,3,"1,187,492,995","63,852,756","1,182,432,398","1,185,685,826","665,907,856","752,054","41,169","762,368","765,452","431,008","46,107.90","45,592.66",-,-,-,"1,155","1,194",-,-,-,93.64,93.49,105.88,93.83,93.59,A1,A1,A1,Aa3,-
Morris,Rockaway Twp,26,11,"3,833,484,211","3,811,464,251","3,944,516,310","4,195,567,375","4,163,119,844","156,846","154,442","160,647","164,571","162,134","46,038.88","47,595.46",-,-,-,"23,554","23,018",-,-,-,74.46,74.73,110.2,75.05,74.33,Aa1,Aa1,-,A1,-
Morris,Rockaway,25,11,"842,984,783","831,953,010","897,743,910","842,775,143","808,527,636","130,030","128,111","138,584","130,178","127,067","37,087.69","38,428.86",-,-,-,"6,069","6,085",-,-,-,72.56,72.51,115.11,72.76,72.82,Aa3,Aa3,Aa1,Aa1,-
Passaic,Clifton,34,9,"9,455,229,373","9,338,262,677","9,591,874,880","9,642,085,941","9,959,099,377","110,038","108,164","111,735","111,331","116,791","30,816.97","31,729.68",-,-,-,"82,900","84,133",-,-,-,70.3,70.6,179.86,71.64,71.68,Aa3,Aa3,-,-,-
Ocean,Tuckerton,9,2,"399,382,463","389,789,585","402,971,349","404,060,277","1,797,206,590","117,604","115,425","119,293","119,828","532,506","27,477.03","27,926.22",-,-,-,"2,847","2,898",-,-,-,79.04,78.7,99.83,79.4,80.11,A1,A1,A1,A1,-
Ocean,Toms River,10,3,"14,088,101,666","1,678,443,793","15,167,528,438","15,418,546,251","11,187,561,088","154,390","18,482","165,157","165,761","119,376","36,119.09","36,998.06",-,-,-,"82,704","83,223",-,-,-,80.39,77.84,119.47,79.39,79.99,Aa3,Aa3,Aa3,-,-
Ocean,Stafford,9,"2, 3","3,928,491,580","222,350,309","4,180,155,817","4,385,697,198","237,930,243","146,536","8,248","153,948","160,378","8,639","32,023.44","33,450.57",-,-,-,"24,961","25,264",-,-,-,83.84,84.46,108.61,85.14,85.19,A1,A1,A1,Aa3,-
Morris,Kinnelon,26,11,"2,116,818,976","2,109,323,195","2,128,774,770","2,137,240,408","2,159,885,193","203,913","202,976","208,315","209,267","215,064","81,398.02","83,525.10",-,-,-,"10,505","10,167",-,-,-,93.69,93.83,133.35,93.03,93.13,Aa1,Aa1,Aa1,Aa1,-
Camden,Laurel Springs,4,1,"115,728,699","113,577,976","110,463,255","116,741,784","121,403,590","61,558","60,286","58,632","61,899","64,818","28,745.75","31,128.91",-,-,-,"1,900","1,827",-,-,-,88.26,88.23,142.39,89.02,89.05,A1,A1,A1,A1,-
Camden,Lindenwold,4,1,"631,475,006","609,389,015","583,194,363","594,400,882","599,223,097","36,256","34,906","33,383","34,022","34,609","19,656","19,893.23",-,-,-,"16,202","16,156",-,-,-,66.9,66.71,98.26,66.56,66.4,A2,A2,A2,-,-
Camden,Merchantville,6,1,"239,326,595","248,366,379","253,579,856","252,894,626","253,543,155","63,364","65,740","67,334","67,081","68,285","33,967.65","34,529.44",-,-,-,"3,264","3,297",-,-,-,83.45,84.59,103.59,84.62,84.86,A2,A2,-,-,-
Camden,Mount Ephraim,5,1,"266,952,793","280,381,404","284,539,361","286,144,171","287,230,725","57,632","60,440","61,442","61,736","62,482","29,286.90","33,462.40",-,-,-,"4,058","4,089",-,-,-,85.32,84.46,102.8,84.9,84.92,-,-,-,-,-
Camden,Waterford,8,2,"764,066,178","756,531,846","747,933,144","761,001,172","768,729,462","71,195","70,355","69,549","70,633","71,797","30,675.49","31,853.87",-,-,-,"9,681","9,708",-,-,-,87.73,87.19,106.1,88.48,88.65,A1,A1,A1,A1,-
Camden,Voorhees,6,1,"3,499,939,409","3,498,516,216","3,481,243,344","3,476,355,319","3,554,828,933","120,592","119,119","118,426","117,995","121,578","56,314.67","57,003.40",-,-,-,"26,587","26,857",-,-,-,69.39,69.43,111.26,70.59,70.65,Aa2,Aa2,Aa2,Aa2,-
Morris,Netcong,25,7,"256,639,333","254,195,067","264,140,396","269,487,760","301,884,472","78,869","78,142","81,676","83,459","95,142","30,611.36","31,673.77",-,-,-,"2,628","2,676",-,-,-,72.04,72.26,81.25,72.03,71.99,-,-,-,-,-
Camden,Pine Valley,8,1,"43,967,077","44,199,980","43,920,089","44,011,838","44,004,400","3,663,923","3,683,332","3,992,735","4,001,076","3,667,033",-,-,-,-,-,-,-,-,-,-,28.97,28.81,100.64,29.09,29.01,-,-,-,-,-
Camden,Pennsauken,6,1,"2,497,596,447","2,442,068,759","2,486,459,841","2,385,053,483","2,430,027,307","70,234","68,544","69,245","66,373","68,062","23,032.75","23,751.17",-,-,-,"31,928","32,345",-,-,-,65.39,65.85,105.98,65.62,65.78,A1,A1,A1,Aa3,-
Camden,Stratford,6,1,"432,265,319","426,810,543","427,230,113","426,789,121","436,098,586","62,250","60,860","61,024","60,840","62,595","28,934.05","30,181.18",-,-,-,"6,379","6,416",-,-,-,79.77,80.25,103.42,80.66,80.75,-,-,-,-,-
Camden,Runnemede,5,1,"515,116,333","503,671,618","505,425,957","514,684,591","515,279,949","61,499","60,097","60,299","61,345","61,948","27,272.28","27,775.05",-,-,-,"7,175","7,280",-,-,-,75.29,75.6,100.1,75.7,75.92,A1,A1,A1,A1,-
Morris,Madison,27,11,"3,807,019,312","3,844,239,880","4,016,907,486","3,992,947,135","4,283,955,738","236,138","238,388","249,932","249,046","259,288","88,332.40","91,630.21",-,-,-,"14,306","14,388",-,-,-,82.07,82.11,115.35,81.7,81.66,-,-,-,-,-
Morris,Lincoln Park,26,11,"1,340,810,338","1,347,887,269","1,362,558,729","1,384,506,851","1,408,014,253","127,916","129,542","130,488","132,261","137,421","41,033.02","41,835.57",-,-,-,"9,736","9,715",-,-,-,83.36,83.34,100.56,83.56,83.52,Aa2,Aa2,Aa2,Aa2,-
Morris,Mine Hill,25,7,"421,809,912","421,479,442","428,830,180","448,998,390","460,838,800","115,343","117,798","119,153","124,965","130,512","36,003.52","37,582.56",-,-,-,"3,408","3,352",-,-,-,86.69,87.03,96.54,86.65,86.56,-,-,-,-,-
Morris,Mendham,25,11,"1,401,367,233","1,369,269,282","1,375,549,037","1,374,511,997","1,370,264,803","280,330","273,799","275,772","276,117","279,076","109,873.51","113,556.91",-,-,-,"4,804","4,814",-,-,-,85.83,85.61,107.22,85.66,85.78,Aa1,Aa1,-,-,-
Morris,Morris Twp,25,11,"5,079,710,534","4,918,018,005","5,262,975,795","5,308,242,301","5,474,115,884","225,035","217,294","233,081","236,037","246,504","90,217.23","92,950.45",-,-,-,"21,203","21,355",-,-,-,81.35,81.62,100.02,82.25,82.4,Aaa,Aaa,Aaa,Aaa,-
Morris,Montville,26,11,"4,861,919,309","4,830,763,897","5,030,465,654","5,056,583,086","4,971,953,379","222,595","221,088","231,819","233,226","233,097","74,897.82","78,072.27",-,-,-,"22,328","22,236",-,-,-,82.71,82.85,111.52,82.99,83.22,Aa1,Aa1,Aa1,-,-
Morris,Mount Olive,24,7,"2,938,555,186","3,092,723,997","3,106,612,257","3,244,239,701","3,340,163,172","101,606","106,444","106,646","110,903","114,976","42,743.23","44,028.69",-,-,-,"25,342","24,114",-,-,-,67.5,67.96,101.64,67.9,68.23,Aa2,Aa2,-,-,-
Morris,Morristown,25,11,"2,584,761,063","2,762,482,771","2,878,776,047","3,123,071,935","3,006,730,136","135,434","148,569","151,387","164,053","157,050","51,360.46","53,866.86",-,-,-,"15,437","15,580",-,-,-,56.56,56.88,127.68,56,56.28,Aa3,Aa3,Aa3,Aa3,-
Salem,Oldmans,3,2,"230,051,762","220,782,049","230,146,172","236,765,384","191,253,984","124,420","120,712","127,153","132,124","106,548","31,877.46","32,802.88",-,-,-,"1,715","1,708",-,-,-,54.96,52.18,98.24,51.58,50.75,-,-,-,-,-
Salem,Pennsville,3,2,"1,074,644,192","1,023,541,744","986,381,576","1,021,500,953","139,465,510","82,633","79,796","77,809","81,727","11,197","30,908.76","31,596.26",-,-,-,"10,841","10,690",-,-,-,67.01,67.96,93.98,69.26,69.04,A1,A1,A1,A1,-
Salem,Elsinboro,3,2,"108,038,184","106,402,190","104,732,977","105,588,342","105,663,029","107,075","106,722","106,220","108,185","108,484","35,546.03","36,041.20",-,-,-,972,928,-,-,-,84.18,83.97,88.01,83.33,83.08,-,-,-,-,-
Salem,Lower Alloways Creek,3,2,"304,099,107","301,490,404","292,246,265","295,611,625","104,236,894","175,577","176,001","163,999","175,125","62,231","29,906.05","31,099.15",-,-,-,"1,455","1,342",-,-,-,33.47,33.38,137.48,33.49,33.07,-,-,-,-,-
Camden,Berlin Twp,6,1,"560,262,828","542,659,029","570,463,307","593,314,004","588,424,230","104,488","99,864","103,476","106,329","104,275","27,440.20","29,756.94",-,-,-,"4,812","4,835",-,-,-,53.74,54.08,101.03,55.75,56.32,A1,A1,A1,-,-
Camden,Camden,5,1,"1,576,358,902","1,654,416,662","1,685,663,884","1,778,745,868","1,718,104,905","20,384","21,735","22,651","23,866","23,226","11,169.66","11,689.64",-,-,-,"57,104","58,326",-,-,-,63.3,63.57,99.37,63.06,63.44,-,-,-,-,-
Camden,Bellmawr,5,1,"740,308,881","739,390,333","761,828,662","742,153,252","767,150,034","64,633","64,508","66,373","64,597","67,448","25,574.80","26,685.49",-,-,-,"9,788","9,970",-,-,-,71.42,72.17,95.99,72.11,72.28,-,-,-,-,-
Camden,Gloucester City,5,1,"501,639,204","587,546,700","544,234,840","522,583,367","539,094,958","44,326","51,862","47,997","46,075","47,945","22,239.22","22,592.23",-,-,-,"9,005","9,299",-,-,-,75.78,75.82,104.37,76.27,75.97,-,-,-,-,-
Camden,Collingswood,6,1,"1,014,936,384","1,046,841,282","1,062,964,872","1,059,746,834","1,080,269,145","72,693","74,774","75,872","75,551","77,628","36,072.50","38,207.46",-,-,-,"11,544","11,803",-,-,-,85.12,85.44,100.08,85.61,85.68,Baa2,A3,A3,A2,-
Camden,Clementon,4,1,"242,179,209","258,730,113","253,987,331","250,751,722","251,930,584","49,024","52,300","51,571","50,565","50,947","22,664.37","23,330.40",-,-,-,"3,878","3,909",-,-,-,78.18,78.18,90.49,79.15,78.28,A2,A2,A2,-,-
Camden,Cherry Hill,6,1,"7,963,136,784","8,014,540,520","8,196,365,690","8,340,254,303","8,609,940,019","111,502","112,343","114,872","116,681","121,251","48,750.36","49,843.99",-,-,-,"67,589","68,052",-,-,-,70.48,70.54,107.58,69.57,69.3,Aa2,Aa2,Aa1,Aa1,-
Camden,Hi-Nella,6,1,"38,389,930","34,908,524","37,175,355","36,992,878","36,960,216","44,744","40,591","42,928","42,668","42,977","20,976.74","21,801.95",-,-,-,855,872,-,-,-,47.68,47.68,96.72,49.31,49.42,-,-,-,-,-
Camden,Haddon Twp,6,1,"1,311,337,027","1,323,356,671","1,339,604,304","1,355,999,087","1,386,536,155","90,319","90,996","91,279","92,207","95,177","39,274.63","41,081.81",-,-,-,"12,580","12,775",-,-,-,83.87,84.05,106.59,84.28,84.27,Aa3,Aa3,Aa3,Aa3,-
Camden,Haddon Heights,5,1,"797,632,081","814,922,558","814,701,601","826,285,821","827,773,141","108,154","108,454","107,993","108,894","109,770","45,257.76","47,298.68",-,-,-,"6,890","6,903",-,-,-,89.25,89.05,99.01,89.27,89.42,Aa3,Aa3,Aa3,-,-
Somerset,Bernardsville,25,7,"2,370,148,243","2,302,961,531","2,312,592,326","2,316,874,010","2,261,449,081","305,589","295,214","296,296","296,465","294,230","129,658.39","132,961.53",-,-,-,"7,593","7,554",-,-,-,84.35,84.5,100.9,83.91,83.82,Aaa,Aaa,Aaa,Aaa,-
Somerset,Bernards Twp,21,7,"6,949,763,405","7,103,335,111","7,146,612,176","7,199,801,731","7,201,469,200","258,769","262,989","264,905","266,058","264,711","100,240.53","103,613.17",-,-,-,"27,434","27,220",-,-,-,88.29,88.68,104.84,88.28,87.89,Aaa,Aaa,Aaa,-,-
Salem,Woodstown,3,2,"276,596,520","275,511,202","268,170,396","266,466,063","271,087,267","80,080","78,181","76,972","77,147","78,644","32,412.85","32,735.73",-,-,-,"3,150","3,199",-,-,-,82.13,82.13,93.09,81.77,81.9,-,-,-,-,-
Salem,Salem,3,2,"182,725,436","149,496,220","149,597,536","132,944,840","171,987,813","36,758","30,547","31,011","27,848","36,231","15,547.77","15,227.64",-,-,-,"3,861","3,881",-,-,-,65.05,66.14,69.07,57.11,56.93,Ba3,Ba3,Ba3,Ba3,-
Salem,Quinton,3,2,"192,851,525","195,610,147","185,815,130","175,843,760","654,660,514","73,579","76,143","76,060","70,648","266,014","29,640.33","28,916.84",-,-,-,"1,860","1,787",-,-,-,74.62,75,97.91,74.03,74.9,-,-,-,-,-
Salem,Pilesgrove,3,2,"438,741,632","437,138,696","433,484,478","444,822,914","985,240,437","110,598","107,590","107,698","111,401","246,927","40,046.31","43,707.60",-,-,-,"3,909","3,931",-,-,-,70.47,70.46,91.31,71.22,71.09,-,-,-,-,-
Passaic,Hawthorne,38,9,"2,302,932,934","2,303,104,246","2,353,031,014","2,380,903,951","2,590,205,266","120,902","120,746","124,230","124,648","137,880","37,810.23","38,636.03",-,-,-,"17,562","17,801",-,-,-,81.54,81.57,192.94,81.57,81.55,Aa2,Aa2,Aa2,Aa2,-
Passaic,Little Falls,40,11,"1,645,284,642","1,632,550,117","1,612,426,996","1,609,174,877","1,635,036,071","113,343","112,334","111,796","110,962","112,273","45,073.77","44,858.31",-,-,-,"10,009","10,140",-,-,-,70.96,70.99,108.81,70.97,71.27,A2,A2,-,-,-
Passaic,Passaic,36,9,"3,022,199,115","3,466,878,079","3,385,159,554","3,513,360,398","3,799,236,282","42,263","48,771","47,925","49,312","54,315","15,060.74","16,018.61",-,-,-,"67,085","67,421",-,-,-,61.98,61.38,110.5,57.49,57.82,-,-,-,-,-
Somerset,Bedminster,23,7,"2,469,160,659","2,490,606,929","2,510,455,676","2,543,501,300","2,534,396,136","300,641","302,221","305,520","309,805","314,168","84,240.47","80,234.07",-,-,-,"7,343","7,357",-,-,-,60.54,60.99,103.09,62.28,62.88,Aaa,-,-,-,-
Somerset,South Bound Brook,23,12,"301,319,139","316,107,168","324,307,276","334,003,120","356,156,354","65,690","68,392","70,333","71,721","77,899","29,319.16","30,485.59",-,-,-,"4,388","4,418",-,-,-,85.17,85.19,101.18,85.5,83.25,-,-,-,-,-
Warren,Washington Twp,23,5,"727,543,958","721,274,653","699,096,127","692,445,139","710,996,666","112,241","111,566","108,202","107,173","110,730","40,622.19","41,657.74",-,-,-,"6,415","6,317",-,-,-,82.31,82.06,102.64,81.9,81.28,-,-,-,-,-
Sussex,Stillwater,24,5,"448,058,455","436,457,900","453,477,230","452,065,124","450,514,695","112,719","111,285","114,892","115,323","115,724","35,539.01","36,829.23",-,-,-,"3,664","3,561",-,-,-,84.39,84.67,111.99,84.46,84.54,-,-,-,-,-
Burlington,Washington Twp,9,2,"95,561,201","92,213,311","89,348,922","91,326,697","89,571,374","141,993","136,815","128,560","128,629","126,157","43,185.97","30,827.38",-,-,-,664,652,-,-,-,71.45,71.62,93.12,72.41,72.34,-,-,-,-,-
Burlington,Tabernacle,9,3,"708,433,983","697,035,880","713,352,031","718,648,323","730,960,405","101,874","100,235","103,504","104,424","107,148","39,161.78","40,663.73",-,-,-,"6,627","6,561",-,-,-,91.85,91.95,108.15,91.91,91.67,A1,A1,A1,A1,-
Burlington,Wrightstown,12,3,"35,082,533","34,418,286","37,523,500","41,419,141","44,208,343","44,129","43,239","47,679","52,763","56,823","20,700.05","19,930.93",-,-,-,725,460,-,-,-,51.77,51.64,144.61,51.13,51.1,-,-,-,-,-
Burlington,Willingboro,7,3,"1,772,272,435","1,753,333,869","1,752,859,626","1,830,544,426","1,857,901,925","55,725","56,071","55,273","57,094","58,265","24,790.58","24,653.14",-,-,-,"26,365","26,647",-,-,-,91.17,90.84,93.71,90.52,90.34,A2,A2,A2,A1,-
Camden,Barrington,5,1,"511,821,878","509,115,121","514,132,389","522,990,770","535,581,822","74,981","74,683","75,697","77,126","80,141","33,307.88","34,802.57",-,-,-,"6,059","6,007",-,-,-,80.55,81.19,94.88,78.41,78.36,A1,A1,-,-,-
Camden,Audubon,5,1,"677,598,379","704,418,056","708,515,243","719,850,923","731,944,695","77,795","80,689","81,187","82,429","84,530","33,747.52","35,464.63",-,-,-,"7,998","8,052",-,-,-,84.91,84.94,98.15,84.98,85.04,-,-,-,-,-
Passaic,Woodland Park,40,11,"1,713,484,050","1,724,271,639","1,771,253,025","1,826,700,218","1,794,868,584","138,151","137,743","140,075","142,333","142,292","35,820.32","36,293.32",-,-,-,"11,911","12,211",-,-,-,74.88,73.43,107.23,74.45,74.68,Aa2,Aa2,Aa2,-,-
Passaic,West Milford,26,5,"2,903,914,654","3,061,922,394","3,009,175,013","2,987,917,990","3,022,786,381","109,039","114,379","113,106","111,257","114,534","40,796.37","43,785.16",-,-,-,"23,652","23,496",-,-,-,87.06,86.79,108.98,86.98,87.07,Aa2,Aa2,-,-,-
Salem,Carneys Point,3,2,"691,525,358","627,972,578","569,939,522","612,912,890","140,152,704","87,215","80,037","73,332","79,578","18,185","25,490.77","25,684.43",-,-,-,"6,674","6,640",-,-,-,59.32,59.25,81.56,57.82,60.05,-,-,-,-,-
Passaic,Prospect Park,35,9,"263,383,295","273,213,165","281,856,384","299,298,829","319,710,402","44,408","45,895","47,667","50,184","54,567","18,630.19","19,021.41",-,-,-,"5,642","5,863",-,-,-,88.34,86.74,106.89,86.9,86.94,A2,A2,A2,A2,-
Passaic,Paterson,35,9,"6,527,535,728","6,282,040,302","6,293,088,126","6,539,377,143","7,437,865,364","44,480","42,517","42,810","43,983","51,075","15,205.98","15,184.70",-,-,-,"132,421","134,764",-,-,-,66.79,60.7,109.35,58.33,57.66,Ba1,Ba1,Ba1,Ba1,-
Passaic,Wanaque,39,11,"1,258,043,041","1,235,743,525","1,257,091,612","1,282,640,487","1,309,153,450","109,902","104,300","106,905","106,940","111,503","39,362.09","38,854.72",-,-,-,"10,234","10,064",-,-,-,86.37,87.12,112.13,88.51,88.67,A2,A2,A1,A1,-
Passaic,Totowa,40,11,"2,148,368,315","2,228,093,116","2,137,849,156","2,141,177,009","2,128,386,717","196,431","203,052","196,061","197,946","197,000","42,525.87","42,151.24",-,-,-,"9,990","10,069",-,-,-,59.19,58.89,93.1,59.72,59.79,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,% Residential Value,% Residential Value,% Residential Value,% Residential Value,% Residential Value,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating,,,
County  ,2014,2015,2016,2017,2018,2014,2015,2016,2017,2018,2014,2015,2016,2017,2018,2014,2015,2016,2017,2018,2014,2015,2016,2017,2018,2014,2015,2016,2017,2018,,,
Atlantic,"40,696,526,627","37,521,879,191","34,910,440,708","31,089,642,590","31,518,566,509","147,875","136,832","128,825","115,182","118,746","27,450.05","28,064.67",-,-,-,"243,151","240,106",0,0,0,64.18,71.39,102,80.12,80.36,,,,,,,,
Bergen,"163,545,255,970","164,911,850,757","170,495,373,003","176,231,237,881","178,903,464,315","175,182","175,717","181,542","185,818","190,995","55,456.94","56,124.67",-,-,-,"857,268","864,939",0,0,0,75.63,75.59,110.23,75.34,75.35,,,,,,,,
Burlington,"45,672,884,791","46,294,928,544","46,365,764,543","47,030,132,823","47,659,529,020","101,558","102,826","103,199","104,839","107,008","39,865.62","41,586.15",-,-,-,"397,032","398,176",0,0,0,77.5,77.68,107.32,78.03,78.12,,,,,,,,
Camden,"36,640,226,556","37,117,026,706","37,398,788,083","37,744,372,451","38,455,467,492","71,698","72,647","73,309","73,904","75,837","32,703.37","33,601.19",-,-,-,"446,707","450,730",0,0,0,77.14,76.99,102.57,76.7,76.7,,,,,,,,
Cape May,"46,888,896,774","47,309,191,810","48,546,447,425","49,619,727,449","51,637,877,443","491,787","499,427","514,100","530,392","557,885","32,707.26","33,966.63",-,-,-,"79,256","78,660",0,0,0,89.24,89.14,102.9,89.46,89.73,,,,,,,,
Cumberland,"8,638,897,110","8,766,773,682","8,682,655,637","8,759,211,481","8,724,591,486","54,889","56,250","56,455","57,423","57,789","22,482.73","23,574.07",-,-,-,"129,181","127,356",0,0,0,68.39,69.03,102.61,69.78,70.17,,,,,,,,
Essex,"82,005,515,722","83,005,877,481","84,790,589,359","88,797,738,102","91,351,277,714","103,058","104,091","106,399","109,859","114,222","45,038.90","45,412.59",-,-,-,"663,965","666,815",0,0,0,71.95,72.34,112.95,73.17,73.57,,,,,,,,
Gloucester,"25,436,791,282","25,499,261,484","25,864,132,798","26,274,226,411","26,899,076,534","87,426","87,482","88,476","89,917","92,307","34,462.77","36,006.93",-,-,-,"261,009","262,569",0,0,0,74.72,75.31,103.5,75.41,74.75,,,,,,,,
Hudson,"60,290,012,212","64,015,391,804","71,393,788,556","77,716,963,683","87,159,312,053","90,104","94,861","105,303","112,366","128,922","35,742.72","37,822.82",-,-,-,"560,656","568,607",0,0,0,60.16,60.08,225.06,59.52,53.1,,,,,,,,
Hunterdon,"20,825,914,674","21,082,477,698","21,366,217,869","21,464,814,577","21,635,014,917","165,197","168,004","171,374","171,638","173,477","60,372.22","62,502.34",-,-,-,"117,567","117,444",0,0,0,76.57,76.87,109.45,77.26,77.42,,,,,,,,
Mercer,"42,963,992,195","43,185,879,785","43,975,904,651","44,443,722,888","45,323,494,613","115,639","116,279","118,526","118,601","122,559","47,472.02","48,427.25",-,-,-,"316,768","319,023",0,0,0,72.61,72.77,109.32,71.92,71.6,,,,,,,,
Middlesex,"96,965,793,838","97,360,214,188","102,669,173,875","105,376,589,174","111,156,753,648","115,947","115,781","122,653","125,032","133,975","36,684.39","37,855.54",-,-,-,"768,846","777,832",0,0,0,67.83,67.7,184.43,66.07,66.13,,,,,,,,
